PMID	Title	Authors	AuthorsFullName	AuthorsAffiliation	JournalTitleAbbreviation	JournalTitle	ISSN	PlaceofPublication	Abstract	keywords	MeSHTerms	Date	ArticleIdentifier   																																									

34784530	Gastric pneumatosis and concurrent aeroportia due to gastric outlet obstruction: A case report.	Ebrahimian M;Ghayebi N;Rezaee SP	"Ebrahimian, Manoochehr;Ghayebi, Negin;Rezaee, Seyed Parviz"	"Department of General Surgery, Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences, Tehran, Iran.. Electronic address: manoochehrebrahimian@sbmu.ac.ir.;School of Medicine, Shahid Beheshti University of Medical Sciences, Tehran, Iran. Electronic address: negin.gh71@gmail.com.;Department of General Surgery, Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences, Tehran, Iran.. Electronic address: dr.parvizrezaee@gmail.com."	Int J Surg Case Rep	International journal of surgery case reports	2210-2612 (Print) 2210-2612 (Linking)	Netherlands	"INTRODUCTION AND IMPORTANCE: Gastric pneumatosis with concurrent hepatic portal vein gas is an extremely rare condition in the adult population. It can be idiopathic or associated with well-known etiologies. Gastric outlet obstruction can progressively inflate the stomach and cause pneumatosis. Regarding abdominal signs and the presence of acute abdomen, management varies from just conservative to emergent surgical interventions. CASE PRESENTATION: We introduce an adult patient who presented to our hospital with weakness and dyspnea. After initial measures, unexpectedly we found intraabdominal free gas, concurrent gastric pneumatosis, and aeroportia. Due to the absence of positive abdominal signs, the patient was treated successfully without any surgical or endoscopic interventions. DISCUSSION: Gastric outlet obstruction is a well-known cause of gastric pneumatosis. Progressive dilation of the stomach due to pyloric stenosis is well-described both in infants and adult populations. CONCLUSION: In stable patients, gastric drainage and correction of electrolyte disturbance are the only required treatment. However endoscopic and surgical interventions should be considered in unstable patients or those developing acute abdomen."	�Aeroportia; Gastric emphysema; Gastric outlet obstruction; Gastric pneumatosis; Pneumoperitoneum		2021	10.1016/j.ijscr.2021.106584 																																									

29073549	Gastric outlet obstruction by a lost gallstone: Case report and literature review.	Koichopolos J;Hamidi M;Cecchini M;Leslie K	"Koichopolos, Jennifer;Hamidi, Moska;Cecchini, Matthew;Leslie, Kenneth"	"Department of Surgery, London Health Sciences Center, London, ON, Canada; Schulich School of Medicine & Dentistry, Western University, London, ON, Canada. Electronic address: jenniferkoichopolos@gmail.com.;Department of Surgery, London Health Sciences Center, London, ON, Canada; Schulich School of Medicine & Dentistry, Western University, London, ON, Canada.;Department of Surgery, London Health Sciences Center, London, ON, Canada; Schulich School of Medicine & Dentistry, Western University, London, ON, Canada.;Department of Surgery, London Health Sciences Center, London, ON, Canada."	Int J Surg Case Rep	International journal of surgery case reports	2210-2612 (Print) 2210-2612 (Linking)	Netherlands	"INTRODUCTION: Spilled gallstones from a laparoscopic cholecystectomy can be a source of significant morbidity, most commonly causing abscesses and fistulae. Preventative measures for loss, careful removal during the initial surgery, and good documentation of any concern for remaining intraperitoneal stones needs to be performed with the initial surgery. CASE REPORT: An 80-year-old male with a history of complicated biliary disease resulting in a cholecystectomy presented to general surgery clinic with increasing symptoms of gastric outlet obstruction. CT imaging was concerning for a malignant process despite negative biopsies. A distal gastrectomy and Billroth II reconstruction was performed and final pathology showed dense inflammation with a single calcified stone incarcerated within the gastric wall of the inflamed pylorus and no malignancy. DISCUSSION: Stones lost during laparoscopic cholecystectomy are not innocuous and preventative measures for loss, careful removal during the initial surgery, and good documentation of any concern for remaining intraperitoneal stones. CONCLUSION: This is the first case of gastric outlet obstruction caused by an intramural obstruction of the pylorus from a spilled gallstone during a laparoscopic cholecystectomy and subsequent inflammation. This is an etiology that must be considered in new cases of gastric outlet obstruction and can mimic malignancy."	�Case report; Gastric outlet obstruction; Laparoscopic cholecystectomy; Lost gallstones.		2017	10.1016/j.ijscr.2017.10.014 																																									

34970945	Combined endovascular and surgical treatment of a giant celiac artery aneurysm with consequent gastric outlet obstruction: a case report and literature review.	Smet N;Buimer T;Van Meel T	"Smet, Nick;Buimer, Thijs;Van Meel, Tim"	"Vascular Surgery, Amphia Hospital, Breda, Netherlands.;Vascular Surgery, Amphia Hospital, Breda, Netherlands.;Vascular Surgery, Amphia Hospital, Breda, Netherlands."	Acta Chir Belg	Acta chirurgica Belgica	0001-5458 (Print) 0001-5458 (Linking)	England	"BACKGROUND: Visceral artery aneurysms (VAA) are rare with an incidence of up to 0.2% and mortality of up to 40%. Aneurysms larger than 5 cm are referred to as giant visceral artery aneurysms (GVAA). We present a case of a celiac artery aneurysm of 14 cm which required endovascular and surgical management. A review of the literature with focus on treatment is also provided. CASE PRESENTATION: In this case report, a 76-year-old male presented with postprandial nausea and vomitus. An ultrasound and computed tomography scan showed an aneurysm of the celiac artery of approximately 14 cm. Initial treatment was conducted with coiling. Despite this treatment, patient presented again with the same complaints, most likely due to gastric outlet syndrome caused by the aneurysm sac. Partial open removal of the aneurysm sac was performed with release of the duodenum. Due to recurring dysphagia and postprandial nausea, a gastroenterostomy was created, which was later supplemented with a Roux-en-Y anastomosis due to gastroparesis. Patient recovered uneventful after the Roux-en-Y and was discharged from the hospital. CONCLUSION: Giant visceral artery aneurysms sometimes need multimodal treatment. We showed that an endovascular first approach of a giant visceral artery aneurysm is not only technically feasible, but it also facilitates subsequent open surgery due to limiting blood loss and reducing the need for extensive mobilisation of the viscera to gain arterial control."	�Celiac artery aneurysm; embolization; gastric outlet obstruction; giant; visceral artery aneurysm.		2022	10.1080/00015458.2021.2024963 																																									

28431376	Trichobezoar presenting as a gastric outlet obstruction: A case report.	Nwankwo E;Daniele E;Woller E;Fitzwater J;McGill T;Brooks SE	"Nwankwo, Eugene;Daniele, Edward;Woller, Erin;Fitzwater, John;McGill, Thomas;Brooks, Steven E"	"Department of Surgery, Texas Tech University Health Sciences Center, 3601 4th Street MS 8312, Lubbock, TX 79430, United States.;Department of Surgery, Texas Tech University Health Sciences Center, 3601 4th Street MS 8312, Lubbock, TX 79430, United States. Electronic address: Edward.daniele@ttuhsc.edu.;Department of Surgery, Texas Tech University Health Sciences Center, 3601 4th Street MS 8312, Lubbock, TX 79430, United States.;Department of Surgery, Texas Tech University Health Sciences Center, 3601 4th Street MS 8312, Lubbock, TX 79430, United States.;Department of Surgery, Texas Tech University Health Sciences Center, 3601 4th Street MS 8312, Lubbock, TX 79430, United States.;Department of Surgery, Texas Tech University Health Sciences Center, 3601 4th Street MS 8312, Lubbock, TX 79430, United States."	Int J Surg Case Rep	International journal of surgery case reports	2210-2612 (Print) 2210-2612 (Linking)	Netherlands	"INTRODUCTION: Rapunzel syndrome is a rare intestinal condition that starts with the ingestion of a trichobezoar. The condition is predominately found in females and can be associated with trichotillomania, or the compulsive urge to pull one's own hair out. There are less than 40 cases described in the literature with the prevention of recurrence aimed at psychological treatment. PRESENTATION OF CASE: The patient is a 7 year-old girl with a history of trichotillomania with trichophagia as a young child who presented with abdominal pain, nausea, and vomiting, consistent with a gastric outlet obstruction. She had an exploratory laparotomy with gastrostomy performed revealing a 18cm by 18cm trichobezoar with extension into the small bowel. DISCUSSION: Bezoars, an already rare entity, can occasionally lead to gastric and small bowel obstructions. Small collections of ingested hair build up in the intestinal tract causing significant symptoms. These obstructions can sometimes be treated through minimally invasive techniques but, in our case described, it is unlikely to have been treated any other way due to the substantial size of the trichobezoar. CONCLUSION: Early consideration of Rapunzel syndrome is important in young females presenting with a gastric outlet obstruction."	�Case report; Gastric mass; Laparotomy; Rapunzel syndrome; Trichobezoar; Trichotillomania		2017	10.1016/j.ijscr.2017.03.011 																																									

30447549	Parastomal stomach herniation complicated by gastric outlet obstruction: A case report and literature review.	Eastment J;Burstow M	"Eastment, Jacques;Burstow, Matthew"	"School of Medicine, University of Queensland, Hertson, Brisbane, QLD, 4006, Australia; Logan Hospital, Armstrong + Meadowbrook Roads, Logan, QLD, 4131, Australia. Electronic address: jacques.eastment@uqconnect.edu.au.;Logan Hospital, Armstrong + Meadowbrook Roads, Logan, QLD, 4131, Australia; Griffith University, Gold Coast Campus, Southport, QLD, 4215, Australia."	Int J Surg Case Rep	International journal of surgery case reports	2210-2612 (Print) 2210-2612 (Linking)	Netherlands	"Introduction Parastomal herniation commonly occurs following formation of an end-colostomy or ileostomy. Those patients presenting with acute complications of parastomal hernias typically undergo surgical repair. Stomach-containing parastomal hernias are rare. Presentation of case A 92-year-old lady presented to the emergency department with vomiting and abdominal pain. She had undergone a total colectomy with end-ileostomy many years earlier. A computed tomography scan of her abdomen diagnosed gastric outlet obstruction secondary to parastomal stomach herniation. The obstruction resolved with simple nasogastric decompression and the patient did not receive surgery. She was discharged from hospital after two days. Discussion Gastric outlet obstruction secondary to a parastomal hernia is rare. A systematic literature search found 12 previously reported cases. This is the first case managed without invasive procedures. Conclusion For gastric outlet obstruction caused by parastomal herniation, surgeons should consider non-operative management with nasogastric decompression when the patient in question is frail and a poor surgical candidate."	"�Case report; Gastric outlet obstruction; Parastomal hernia; Stomas, surgical"		2018	10.1016/j.ijscr.2018.10.049 																																									
